phase_convention,training_seed,pca_dim,knn,n_basis,transition_coexact_minus_exact,post_coexact_minus_exact,post_minus_transition
fixed,598,5,15,50,-0.12923193522761506,-0.40358424121583436,-0.2743523059882193
fixed,598,10,10,50,0.1378634713149729,-0.38829200865328195,-0.5261554799682548
fixed,598,10,15,30,0.2131810627088057,-0.3880216825250221,-0.6012027452338278
fixed,598,10,15,50,0.16328791329229136,-0.42087251753414956,-0.584160430826441
fixed,598,10,15,75,0.12729240892963106,-0.46464109438105095,-0.5919335033106821
fixed,598,10,20,50,0.05301207512297945,-0.44024125992214025,-0.4932533350451197
fixed,598,20,15,50,-0.012303876122189972,-0.37907452078171877,-0.3667706446595288
fixed,599,5,15,50,-0.24495011818305462,-0.27371572838514535,-0.02876561020209073
fixed,599,10,10,50,0.2834228688431551,-0.07571758347701801,-0.3591404523201731
fixed,599,10,15,30,0.30249247930006085,-0.08784091834169266,-0.3903333976417535
fixed,599,10,15,50,0.05473776935578645,-0.17782807427834063,-0.23256584363412708
fixed,599,10,15,75,-0.0960640143589272,-0.25774381559964793,-0.16167980124072073
fixed,599,10,20,50,-0.02558431414366036,-0.21838035808191464,-0.19279604393825428
fixed,599,20,15,50,0.3759734958211025,-0.35460716676630577,-0.7305806625874083
fixed,777,5,15,50,-0.23427765865850064,-0.31928814462926336,-0.08501048597076272
fixed,777,10,10,50,0.24358991866719343,0.053648016082386896,-0.18994190258480653
fixed,777,10,15,30,0.24745103751633818,0.11055515152753864,-0.13689588598879954
fixed,777,10,15,50,0.135692445495452,0.026324770919773366,-0.10936767457567864
fixed,777,10,15,75,-0.013499924866788637,-0.07053014213404207,-0.057030217267253436
fixed,777,10,20,50,0.07127909432202778,0.0447658278708542,-0.02651326645117358
fixed,777,20,15,50,0.327701980720094,0.1999665601776059,-0.1277354205424881
fixed,1001,5,15,50,-0.3849327993354663,-0.44100389649279753,-0.05607109715733122
fixed,1001,10,10,50,0.14421045997995818,-0.14219961311826806,-0.28641007309822625
fixed,1001,10,15,30,0.1304462254985978,-0.1323528652579345,-0.2627990907565323
fixed,1001,10,15,50,-0.05957046582179182,-0.24191657982803083,-0.182346114006239
fixed,1001,10,15,75,-0.1858799568686944,-0.3816770642930638,-0.1957971074243694
fixed,1001,10,20,50,-0.14941662118800125,-0.3203505703261105,-0.17093394913810922
fixed,1001,20,15,50,0.11987013332719659,-0.15121029167714123,-0.2710804250043378
fixed,2027,5,15,50,-0.1597416855916649,-0.2965665301735393,-0.13682484458187438
fixed,2027,10,10,50,0.3504844700091983,-0.13669927729294878,-0.4871837473021471
fixed,2027,10,15,30,0.38879746855457437,-0.08884369634748901,-0.4776411649020634
fixed,2027,10,15,50,0.2043322327104955,-0.16225729778384512,-0.3665895304943406
fixed,2027,10,15,75,0.06706476239118447,-0.23775131034318953,-0.304816072734374
fixed,2027,10,20,50,0.10672820871799504,-0.1767520577558236,-0.28348026647381863
fixed,2027,20,15,50,0.20223694425751654,-0.08027553285797367,-0.2825124771154902
fixed,3141,5,15,50,-0.28579585156828324,-0.37600474285855434,-0.0902088912902711
fixed,3141,10,10,50,0.1406231630319567,-0.2962028692927785,-0.4368260323247352
fixed,3141,10,15,30,0.15911282353977602,-0.24237136094182282,-0.40148418448159884
fixed,3141,10,15,50,0.05534502062204494,-0.29004101480053723,-0.34538603542258217
fixed,3141,10,15,75,-0.08478814188024464,-0.38433801821389935,-0.2995498763336547
fixed,3141,10,20,50,-0.07618583432753334,-0.3412186647381208,-0.26503283041058745
fixed,3141,20,15,50,0.02920040172585109,-0.21316401639931543,-0.24236441812516651
fixed,4096,5,15,50,-0.22251010763056506,-0.3207020183392426,-0.09819191070867755
fixed,4096,10,10,50,0.32498356857193167,-0.07352693691840462,-0.3985105054903363
fixed,4096,10,15,30,0.364692522030703,0.007653854818600092,-0.3570386672121029
